Entity1,Relationship,Entity2
I,put,effort
I,took,report
I,gained,that
I,made,that
you,need,clarification
I,provide,details
It,gives,pleasure
I,found,way
He,kept,me
I,show,gratitude
who,took,responsibility
me,understand,works
who,helped,me
Bangladesh,delivered,performances
I,faced,that
I,overcome,problems
I,included,flowcharts
I,included,samples
Engineering,played,role
reader,have,idea
I,collected,lot
BAT,holds,positions
it,operates,operation
BAT,manufacture,cigarettes
it,sold,cigarettes
company,manufactures,cigarettes
it,employed,people
Tobacco,contributed,billion
BAT,sustained,presence
company,provides,support
they,maintain,procedure
company,own,farms
It,takes,pride
it,doing,thing
BAT,knows,that
company,satisfying,shareholders
Company,set,depot
Company,changed,name
They,make,products
Group,holds,share
Government,owns,%
Bangladesh,owns,%
Board,has,members
It,has,contracts
who,produce,leaf
Company,exporting,tobacco
Group,holds,%
Bangladesh,contributed,crore
that,establish,level
they,take,pride
who,bring,differences
they,purchasing,products
it,has,responsibility
it,defend,right
which,recognizes,strength
company,assigns,me
me,prepare,report
it,includes,lot
I,figured,that
department,fails,duty
BATB,follows,policy
management,solve,problem
they,take,duties
This,adds,lot
I,learned,lot
I,faced,difficulties
I,had,idea
they,give,time
I,had,times
they,supervise,anyone
I,capture,information
I,had,time
manager,explained,procedures
I,get,directions
manager,asked,me
he,giving,time
they,fire,me
I,do,project
I,received,feedback
boss,give,lot
boss,give,most
I,lost,interest
he,appreciated,work
I,made,error
I,overcame,situations
I,asked,employees
most,provide,information
most,explain,me
most,explain,term
manager,explain,me
manager,explain,term
o,do,work
I,faced,difficulties
team,works,most
some,led,me
I,prepare,report
chain,works,P
I,find,literatures
I,get,information
I,prepared,report
manager,helped,me
I,collected,information
P,see,steps
we,see,steps
Budget,required,submission
BATB,hires,some
company,make,decision
consultants,give,opinions
BATB,provides,chance
vendors,give,proposals
they,choose,vendor
vendor,delivers,project
they,Audit,project
they,Audit,15
Capitalization,means,creating
part,includes,them
it,require,upgrades
P,categorize,project
I,arranged,meetings
it,keep,records
Bangladesh,follows,way
they,choose,vendors
I,worked,that
I,had,meeting
I,prepared,assignment
supervisor,submitted,this
they,gave,numbers
I,enlisted,vendors
I,helped,him
they,assigned,me
café,occupying,rooms
P,updates,GANTT
P,updates,timeline
they,set,machineries
BATB,follows,chart
vendors,give,time
department,conducts,meeting
which,cause,trouble
I,had,responsibility
it,took,me
I,done,works
I,have,problems
I,received,compliment
I,found,1
Engineer,delivers,information
I,helped,him
he,settles,negotiation
employees,take,updates
utilities,support,operation
matter,prevails,gap
I,handling,which
level,take,issue
they,monitor,workers
head,distributes,task
they,throw,it
he,produce,result
employees,help,engineer
most,check,it
they,check,it
they,take,time
they,finished,it
company,bat,eye
they,take,issue
they,get,job
they,execute,projects
I,had,ideas
Bangladesh,follows,procedure
they,execute,activities
BATB,influences,consumers
BATB,faces,sort
company,proclaim,itself
factory,had,amount
team,adds,value
they,appointed,me
I,learned,lot
I,carry,learning
