Entity1,Relationship,Entity2
user,requested,enhancement
paper,features,Cite
paper,features,Proceedings
https://doi.org/10.1063/5.0114074,Published,Online
https://doi.org/10.1063/5.0114074,Published,Proceedings
segmentation,plays,role
It,finds,place
paper,presents,review
humans,skin,detection
that,learned,data
Users,utilize,processes
user,selects,locations
method,performs,process
process,taken,place
algorithms,having,advantages
this,exploit,strength
this,enhanced,strength
This,implies,need
technique,assumes,similarity
it,takes,time
it,takes,time
it,give,results
object,have,boundary
Threshold,divide,image
that,have,properties
regions,have,characteristics
that,combine,pixels
region,has,value
process,takes,time
images,contain,objects
Clustering,introduced,FCM
Dunn,introduced,FCM
neuron,corresponds,that
method,treated,images
that,collect,water
output,displays,image
Table,shows,classes
process,needs,human
person,has,criteria
paragraphs,explain,detail
Local,mapped,approaches
pattern,approaches,Histogram
Tamura,features,magnitudes
entropy,entropy,FIGURE
who,determine,validity
users,apply,algorithm
factors,include,speed
It,provides,result
they,require,images
Parameter,summarizes,metrics
Variation,Computes,error
that,have,relationship
distance,discrepancies,Distribution
that,matches,those
Receiver,Depicts,off
Variation,increased,complexity
application,drawn,attention
It,provides,overview
method,has,set
paper,presented,methods
Grab,cut,segmentation
Suresh,algorithms,survey
segmentation,algorithms,survey
Phornphatcharaphong,Using,Motion
Shakeel,using,network
